gene,log2FoldChange,stat,pvalue,padj,xiao
SATB2-AS1,-0.0722338180942045,-0.290104347791258,0.771736409709081,0.861564307526714,0.981457403731756
SAV1,0.161132495018258,2.64002562988335,0.00828997575809643,0.028187549864165,0.461967361892216
SAYSD1,-0.140898545844899,-1.44579722186885,0.148234085563956,0.278657489735481,0.764166139193387
SBDS,0.169302695671072,3.92840305476235,8.55118088954802e-5,5.6174305272993e-4,0.204776941272277
SBF1,-0.135531645396941,-2.59251197882352,0.00952778632307047,0.0316224021556463,0.532217881093555
SBF2,-0.141725750440312,-2.95304390048893,0.00314657211091171,0.0126072777587718,0.441956136867742
SBF2-AS1,-0.473389935979335,-2.64312691153178,0.00821442390730244,0.0279857623377024,0.102986854088058
SBK1,-0.570279279038741,-6.14470353507358,8.01130028818367e-10,1.4711419216378e-8,6.49486773123663e-6
SBK3,1.62704824632906,4.65371495508685,3.26007404189785e-6,3.09114089834034e-5,1.18237807215393e-9
SBNO1,-0.0412964166030716,-1.17319320051457,0.240718338122105,0.394152270957195,0.942884605992661
SBNO2,0.424582318386318,4.1325302451684,3.58791536202444e-5,2.6268322658406e-4,0.0129617783691895
SC5D,-0.00877498079199429,-0.123424929771318,0.901770616895923,0.943927949114804,0.999093121479494
SCAF1,-0.161487817331524,-1.64420408237272,0.100134053982011,0.206624638649961,0.689614105652616
SCAF11,0.125812676238341,3.19310016131674,0.00140754114997844,0.00643880165130867,0.4377642173547
SCAF4,0.16225257407614,3.5492040500802,3.8639753479276e-4,0.00212165419044594,0.279407164211969
SCAF8,0.173030630948001,1.20862268196075,0.226807838260796,0.377193967205115,0.773586901248798
SCAI,-0.523417497147115,-5.22434247699093,1.74775038411786e-7,2.14623747169673e-6,2.9039924565418e-4
SCAMP1,0.028439811327838,0.465409663261522,0.641638115409956,0.769782090770044,0.987459672785087
SCAMP1-AS1,0.327931385969292,1.33902559845031,0.180562339578818,0.320873259748053,0.570459370909225
SCAMP2,0.0419111043278045,0.507047179356335,0.612121715414604,0.746842901965206,0.979639157727936
SCAMP3,-0.098370092184116,-1.2193845690022,0.22269826395706,0.372466890625519,0.862650432883534
SCAMP4,-0.276895642483111,-2.99860721606444,0.00271216710108634,0.0111188770084838,0.194668869856934
SCAND1,-0.0620747586647783,-0.792054211056048,0.428329067291142,0.588734062742724,0.948730101379254
SCAP,-0.0878808033876479,-1.31088093697786,0.189897992249035,0.331997059341992,0.86416324501375
SCAPER,-0.0057915073125893,-0.0885284262634379,0.929456692139423,0.960392236492605,0.999576411641817
SCARA3,0.311820743054405,1.32597324677235,0.18484855912452,0.325766404427254,0.590715058516781
SCARA5,-0.051586276630574,-0.419660723824148,0.674733321196884,0.793179104180987,0.97990858880662
SCARB1,0.118504407794573,1.41169165878939,0.158040770448027,0.29142194924446,0.80361976786865
SCARB2,-0.123104078171421,-3.52023604095461,4.3116290943899e-4,0.00233314359338025,0.385221600301743
SCARF1,-0.318724221247428,-1.60715203922717,0.108021020016286,0.219102979228453,0.491989322220729
SCARF2,0.0719345988793023,0.398686886660114,0.690123931411973,0.804910017297534,0.973673353101547
SCARNA2,-0.0677611201413898,-1.17703266101687,0.239182470352046,0.392481984548463,0.90761571027072
SCARNA9,-0.0572568275644138,-0.455235276019566,0.648939984591424,0.775595283945889,0.975545269639906
SCCPDH,-0.118972556449436,-2.33039427750478,0.0197853219503397,0.0573268084613974,0.627063591953986
SCD,0.738662183173102,1.7255868339471,0.0844217696628828,0.181438510873168,0.161069199963304
SCD5,-0.279295943858474,-1.14576196235543,0.251893657902957,0.406531645318849,0.680397018639579
SCFD1,0.0672390019175475,1.28307649940169,0.199465276181475,0.343549780631726,0.897271299034539
SCFD2,0.0573454927049758,0.980155829569328,0.327009204095529,0.489574311373721,0.937912238114576
SCGB2B2,-0.449594569150755,-2.4771228453669,0.0132446306735093,0.0413035152944764,0.143113076091391
SCHIP1,0.0336329267882509,0.284613334372554,0.775940394247059,0.864345794752711,0.991504307587325
SCLT1,0.180392849626724,2.13989405696644,0.0323633295126297,0.0855528888666244,0.538547792510206
SCMH1,0.103182374294589,2.51250298181829,0.0119878092017532,0.038176944242098,0.633519246196722
SCML1,0.294925452455216,4.84584553388246,1.26073580019603e-6,1.30562706744439e-5,0.0182022003026766
SCML2,0.147506839074,0.741456085820292,0.458416948801252,0.617554051139764,0.891319958940336
SCN1A,-0.127008566983328,-0.415138444439221,0.678040557519273,0.795662237848066,0.951848927182408
SCN1B,-0.0907532325764037,-2.20382886692498,0.0275363816341926,0.0751363050121215,0.721799381390087
SCN2B,0.0695593906410352,0.593832468553365,0.552624170400614,0.69683887121324,0.959585284058967
SCN3A,-0.165400670789545,-0.848786422896386,0.396000146381733,0.558182024514197,0.857943207987581
SCN3B,0.354816326286629,2.95103217266182,0.00316713925614085,0.0126749793811083,0.129776453981393
SCN4A,-0.0458896593269417,-0.742598318882266,0.45772490663331,0.616743351715516,0.964773260621884
SCN4B,-0.1617346450899,-2.279072298212,0.0226627679223666,0.0640735101907005,0.541997301049645
SCN5A,0.291480819232347,0.577808967938342,0.56339309997706,0.70596641388628,0.845992160877818
SCN7A,-0.295479500748604,-2.78870404121331,0.00529194005229982,0.0193663978337807,0.212507798314222
SCN8A,-0.162909923357523,-0.630974031655697,0.528057504070543,0.678047626985273,0.901201733801779
SCN9A,-0.174720340006789,-0.849778242061307,0.395448388575572,0.55757496307119,0.850361118775196
SCNM1,-0.0784936392013969,-1.16826845743057,0.242698494444902,0.396087383432524,0.894811748201734
SCNN1D,-0.304869292253721,-1.39483116421855,0.163066758782271,0.297985088965221,0.575273553163093
SCO1,0.0333234445099873,0.65252975689398,0.514059483005283,0.665329937953717,0.978070072279058
SCOC,0.0136670387876578,0.159707226402082,0.873111708130324,0.926108607870096,0.998147213814585
SCOC-AS1,-0.0931719300562213,-0.450092243678246,0.652643929290126,0.777946519098337,0.96102134423903
SCP2,-0.097567954365885,-2.91572655010716,0.00354861368713222,0.0139158503126687,0.57671897588924
SCPEP1,-0.0829989414173945,-0.942581721843245,0.345894892648291,0.509547658555784,0.915657068789012
SCRIB,-0.302424746397288,-3.13956852861662,0.00169196835832592,0.00750386608997513,0.145143377574698
SCRN1,0.190326940944109,1.10706070854164,0.268267681769867,0.425990577431116,0.778468713955566
SCRN2,-0.286971658145006,-2.6664884459187,0.00766482410286101,0.0264790059967554,0.247122384858128
SCRN3,-0.216681631130405,-3.1982163967952,0.00138280472220087,0.00633823730497846,0.240134963710234
SCUBE2,-0.137173605949897,-1.04656192475048,0.29530167041652,0.455747899621783,0.845930071649714
SCUBE3,0.523908048298721,1.4096045358082,0.158656486949319,0.292206288122229,0.381165358849782
SCX,0.647867646130486,3.65885275695099,2.5334684041367e-4,0.00145954403682857,0.0046782521004093
SCYL1,-0.0222713106178812,-0.526574615615046,0.598489023640369,0.736318983132219,0.988632194802704
SCYL2,0.119903689666282,1.85343884173078,0.0638194844245519,0.146724276472821,0.718967882758597
SCYL3,-0.0853236571897678,-1.00992639787476,0.312530554292992,0.474358339656965,0.905529033247414
SDAD1,0.216811449501607,3.18546145233561,0.00144523356191628,0.00657414754195195,0.242237875774274
SDC2,0.259740131703563,2.14599515050256,0.0318733656034128,0.0845488759237996,0.408582886234167
SDC3,0.2807407140718,3.29960704442636,9.6820294900675e-4,0.00469323640018537,0.142507609552252
SDC4,1.28600447781191,8.75396420684267,2.05986450388505e-18,1.16627164431033e-16,1.80101493180732e-23
SDCBP,0.525383997931756,7.74274781060622,9.729089805449292e-15,3.6131014962978996e-13,4.3486790895855903e-08
SDCBP2-AS1,-0.0267930157121588,-0.185658789167659,0.852712347840604,0.914613438308847,0.995740087371954
SDCCAG3,-0.0504348768784504,-0.736711652723846,0.461297719004029,0.620081165874888,0.96172950185665
SDCCAG8,-0.31312001730646,-5.34695873019148,8.94444003988237e-8,1.14946455024163e-6,0.00620855027926462
SDE2,0.0262881660715637,0.368098703761411,0.712799637390342,0.81999558585624,0.991139499918652
SDF2,-0.00741652541614105,-0.095993717578524193,0.923525562167148,0.956409718241315,0.999410139006731
SDF2L1,-6.4920544253503e-4,-0.00337763821882916,0.997305039737435,0.998461419231297,0.999998248056893
SDF4,-0.0397427717378338,-0.731569225437235,0.464431537569565,0.622984920043067,0.969979476542125
SDHA,-0.0963661719083079,-2.35734495030342,0.0184061400258839,0.0541830011629205,0.680457647490167
SDHAF1,0.0619936843553223,0.504811446116989,0.613691275693836,0.748159634107866,0.970184285954193
SDHAF2,-0.203093612770575,-1.48937374538757,0.136388978194021,0.262242690849046,0.667235580740529
SDHAF3,0.0328342573425587,0.339107835194087,0.734528496157556,0.835465557220293,0.989920899950201
SDHAF4,-0.106273169069874,-1.27949377083477,0.200723231791434,0.3453719575537,0.843111166237547
SDHB,0.044068096601505,0.626153662288831,0.531214157307424,0.680614554401517,0.972507940451355
SDHC,-0.129908194046336,-3.33894968238226,8.4095795690585e-4,0.00415219234262128,0.398568508046044
SDHD,-0.0554177821425698,-0.756299932589012,0.449469388533626,0.609131582541538,0.956650737972018
SDK1,0.00194691850432159,0.010066769842621,0.991968015425671,0.996174261591556,0.999984299364989
SDPR,0.238547971881584,3.05707214327547,0.00223510474653113,0.0094572655661034,0.233174140940245
SDR39U1,-0.0275572599638824,-0.394033272957035,0.693556474077911,0.806997615546731,0.989966846828546
SEC11A,0.0612174324283794,1.19170761109577,0.233375912660371,0.38510370680877,0.914774421743381
SEC11C,-0.063662750811996,-0.527306141010617,0.597981010412131,0.735825034189329,0.967794846417072
SEC13,0.0559249921896126,1.28535248492196,0.198669137184557,0.342806677923951,0.913582871291853
SEC14L1,-0.272390519672892,-7.56794066594933,3.7918709667855704e-14,1.30310192552594e-12,2.2090571114788e-4
SEC14L5,-0.768336670842491,-7.68288455389517,1.55545753570612e-14,5.61061249498175e-13,2.4586588215835598e-11
SEC16A,-0.0329712476660687,-0.604364495887076,0.545601335098892,0.691702527704064,0.980222020097268
SEC16B,-1.18132165785255,-13.6844713639814,1.2571811491665298e-42,4.45332245531684e-40,3.17622467546523e-50
SEC22A,0.0361203475946628,0.286656350735738,0.774375462546563,0.86321874974002,0.990806603923791
SEC22B,0.128548810499545,1.93422368629794,0.0530856313420373,0.126433550445539,0.685641834570771
